id,nombre,tipo,materiales,horario,observacio,direccion,barrio,comuna,geometry
9996,Estación Lugano,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Murguiondo 4121,Villa Lugano,Comuna 8,POINT (-58.47612114749537 -34.67666632437466)
99911,Parque Las Heras,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Diaz, Cnel. Av. 2437",Recoleta,Comuna 2,POINT (-58.40676659357997 -34.58448273224166)
99914,Parque Saavedra,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Paroissien y Perez, Roque",Saavedra,Comuna 12,POINT (-58.48205963517308 -34.55178375679957)
99917,Parque Santojanni,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"De La Torre, Lisandro y Acassuso",Liniers,Comuna 9,POINT (-58.51589050401845 -34.65042251639289)
99924,Plaza Almagro,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Bulnes y Sarmiento,Almagro,Comuna 5,POINT (-58.418357794620604 -34.60527986109268)
99930,Plaza Benito Nazar,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Antezana y Olaya,Villa Crespo,Comuna 15,POINT (-58.444662659712804 -34.60489839654926)
99935,Plaza Colombia,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Cartón - Metal - Orgánicos - Papel - Pilas - Plástico - RAEES - Telgopor - Tetra-brik - Vidrio,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Brandsen y Montes De Oca, Manuel Av.",Barracas,Comuna 4,POINT (-58.37444211428307 -34.63786971772978)
99938,Plaza de La Misericordia,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Bilbao, Francisco y Lautaro",Flores,Comuna 7,POINT (-58.454993640235365 -34.63288795950816)
99941,Plaza Don Bosco,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Lope De Vega Av. y Gonzalez, Elpidio",Monte Castro,Comuna 10,POINT (-58.508309341820365 -34.62682935871767)
99943,Plaza Echeverría,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Rivera, Pedro I., Dr. y Bauness",Villa Urquiza,Comuna 12,POINT (-58.48955761728068 -34.57272105189643)
99948,Plaza Irlanda,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Alvarez, Donato, Tte. Gral. y Gaona Av.",Caballito,Comuna 6,POINT (-58.45942942302662 -34.61387671985942)
